Cargo;Colaborador (Contagem (Tudo))
AUXILIAR SERVICOS GERAIS I;10
CHEFE COZINHA III;1
CONFEITEIRO I;1
COPEIRO III;1
COZINHEIRO I;7
COZINHEIRO II;5
COZINHEIRO III;1
ENCARREGADO LIMPEZA;2
GERENTE UNIDADE OPERACIONAL I;2
GERENTE UNIDADE OPERACIONAL II;1
GERENTE UNIDADE OPERACIONAL III;1
JOVEM APRENDIZ ADMINISTRATIVO;3
JOVEM APRENDIZ OPERACIONAL;1
OFICIAL COZINHA I;4
OFICIAL ESTOQUE;3
OFICIAL LIMPEZA I;39
OFICIAL SERVICOS GERAIS I;8
OPERADOR EMPILHADEIRA I;2
SUPERVISOR OPERACIONAL ;1
Total Geral;93
