CARGO;GRADE;MINIMO;MAXIMO;
CHEFE COZINHA I;M1; R$ 	3.326,00 ; R$ 	3.867,00 ;
CHEFE COZINHA II;L2; R$ 	3.727,00 ; R$ 	4.333,00 ;
CHEFE COZINHA III;L1; R$ 	4.218,00 ; R$ 	4.903,00 ;
COPEIRO I;O1; R$ 	2.007,00 ; R$ 	2.333,00 ;
COPEIRO II;N2; R$ 	2.251,00 ; R$ 	2.617,00 ;
COPEIRO III;N1; R$ 	2.572,00 ; R$ 	2.990,00 ;
COZINHEIRO I;N2; R$ 	2.251,00 ; R$ 	2.617,00 ;
COZINHEIRO II;N1; R$ 	2.572,00 ; R$ 	2.990,00 ;
COZINHEIRO III;M2; R$ 	2.922,00 ; R$ 	3.397,00 ;
ENCARREGADO LIMPEZA;M1; R$ 	3.326,00 ; R$ 	3.867,00 ;
GERENTE UNIDADE OPERACIONAL I;J1; R$ 	6.942,00 ; R$ 	8.070,00 ;
GERENTE UNIDADE OPERACIONAL II;I2; R$ 	7.706,00 ; R$ 	8.958,00 ;
GERENTE UNIDADE OPERACIONAL III;I1; R$ 	8.653,00 ; R$ 	10.153,00 ;
OFICIAL COZINHA I;O1; R$ 	2.007,00 ; R$ 	2.333,00 ;
OFICIAL COZINHA III;N2; R$ 	2.251,00 ; R$ 	2.617,00 ;
OFICIAL COZINHA III;N1; R$ 	2.572,00 ; R$ 	2.990,00 ;
OFICIAL ESTOQUE;O2; R$ 	1.754,00 ; R$ 	2.039,00 ;
OFICIAL LIMPEZA I;O2; R$ 	1.754,00 ; R$ 	2.039,00 ;
OFICIAL LIMPEZA II;O1; R$ 	2.007,00 ; R$ 	2.333,00 ;
OFICIAL LIMPEZA III;N2; R$ 	2.251,00 ; R$ 	2.617,00 ;
OFICIAL SERVICOS GERAIS I;O1; R$ 	2.007,00 ; R$ 	2.333,00 ;
OFICIAL SERVICOS GERAIS III;N2; R$ 	2.251,00 ; R$ 	2.617,00 ;
OFICIAL SERVICOS GERAIS III;N1; R$ 	2.572,00 ; R$ 	2.990,00 ;
OPERADOR EMPILHADEIRA I;N2; R$ 	2.251,00 ; R$ 	2.617,00 ;
OPERADOR EMPILHADEIRA II;N1; R$ 	2.572,00 ; R$ 	2.990,00 ;
OPERADOR EMPILHADEIRA III;M2; R$ 	2.922,00 ; R$ 	3.397,00 ;
SUPERVISOR OPERACIONAL ;J2; R$ 	6.137,00 ; R$ 	7.134,00 ;
