CARGO;GRADE;MINIMO;MAXIMO;
AUXILIAR SERVICOS GERAIS I;O1; R$ 	1.907,00 ; R$ 	2.217,00 ;
AUXILIAR SERVICOS GERAIS II;N2; R$ 	2.138,00 ; R$ 	2.486,00 ;
AUXILIAR SERVICOS GERAIS III;N1; R$ 	2.443,00 ; R$ 	2.840,00 ;
CONFEITEIRO I;O1; R$ 	1.907,00 ; R$ 	2.217,00 ;
CONFEITEIRO II;N2; R$ 	2.138,00 ; R$ 	2.486,00 ;
CONFEITEIRO III;N1; R$ 	2.443,00 ; R$ 	2.840,00 ;
COZINHEIRO I;N2; R$ 	2.138,00 ; R$ 	2.486,00 ;
COZINHEIRO II;N1; R$ 	2.443,00 ; R$ 	2.840,00 ;
COZINHEIRO III;M2; R$ 	2.776,00 ; R$ 	3.227,00 ;
GERENTE UNIDADE OPERACIONAL I;J1; R$ 	6.594,00 ; R$ 	7.666,00 ;
GERENTE UNIDADE OPERACIONAL II;I2; R$ 	7.320,00 ; R$ 	8.510,00 ;
GERENTE UNIDADE OPERACIONAL III;I1; R$ 	8.653,00 ; R$ 	10.153,00 ;
OFICIAL COZINHA I;O1; R$ 	1.907,00 ; R$ 	2.217,00 ;
OFICIAL COZINHA II;N2; R$ 	2.138,00 ; R$ 	2.486,00 ;
OFICIAL COZINHA III;N1; R$ 	2.840,00 ; R$ 	2.840,00 ;
OFICIAL ESTOQUE;O2; R$ 	1.666,00 ; R$ 	1.937,00 ;
