,,,,,,Relatório de Cardápios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grupo de Restaurantes: ,,,,,, 12302 - LABORATORIOS PFIZER LTDA - GUARULHOS/SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sede:,,,,,, 12302 - INOVAT Guarulhos SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Item de Venda: ,,,,,, 100 - REFEIÇÂO - CPR L24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Produto: ,,,,,, 307 - Caseira Almoço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Custo Médio: ,,,,,, 8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Média de Calorias:,,,,,, 1271.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ARROZ,,,,,,,,ARROZ,,,,,,FEIJÃO,,,,,,PRATO PRINCIPAL,,,,,,,PRATO PRINCIPAL,,,,,,,OPÇÃO,,,,,,GUARNIÇÃO I,,,,,,GUARNIÇÃO I,,,,,,SOPA,,,,,,SALADA VERDE,,,,,,SALADA,,,,,,SALADA,,,,,,SALADA,,,,,,SALADA,,,,,,SOBREMESA,,,,,,SOBREMESA,,,,,,SOBREMESA FRUTA,,,,,,BEBIDA,,,,,,BEBIDA,,,,,,BEBIDA,,,,,,BEBIDA REFRIGERANTE,,,,,,PÃO,,,,,,MESA DE MOLHOS,,,,,,MOLHO PARA SALADA,,,,,,MOLHO PARA SALADA,,,,,,Total Custo per Capita
Nº Cardápio,,Data,,,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,
60,,01/01/2026,quinta-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca,"0,032","102,204","0,2",100%,"0,2",Fricassê de Frango L24,,"0,274","170,86","4,43",50%,"2,22",Bife Acebolado L24,"0,267","23,332",,"8,62",40%,"3,45",Ovo/Omelete,"1,005",27,"0,6",100%,"0,6",Mix de Folhas,"0,062","24,467","0,3",100%,"0,3",Acelga com Bacon,"0,083","23,1282","0,25",60%,"0,15",Sopa de Ervilha,"0,011","8,88147","0,1",30%,"0,03",,,,,,,Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Beterraba Ralada,"0,03","15,87","0,07",100%,"0,07",Salada de Lentilha,"0,023","32,225","0,2",100%,"0,2",Salada Mix de Alface,"0,02","2,39","0,11",100%,"0,11",Cocada Branca Cremosa,"0,03","80,475","0,41",50%,"0,21",Gelatina de Cereja,"0,004","2,0601","0,13",15%,"0,02",Banana,"0,1","15,255","0,32",15%,"0,05",Suco Post Mix 4,0,0,0,50%,0,Água Aromatizada,"0,003","0,38855","0,02",25%,0,Suco de Polpa de Manga,"0,05",0,"0,36",0%,0,Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho de Manjericão,"0,003","4,98474","0,12",30%,"0,04",Molho de Limão para Salada,"0,001","0,65205","0,01",30%,0,"8,69"
