,,,,,,Relatório de Cardápios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grupo de Restaurantes: ,,,,,, 14545 - LEROY MERLIN CAJAMAR Cajamar SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sede:,,,,,, 14545 - LEROY MERLIN CAJAMAR Franco Da Rocha SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Item de Venda: ,,,,,, 186012 - Refeicao Almoco Fase 2 - CPR L24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Produto: ,,,,,, 307 - Caseira Almoço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Custo Médio: ,,,,,, 9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Média de Calorias:,,,,,, 1291.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ARROZ,,,,,,,,ARROZ,,,,,,FEIJÃO,,,,,,PRATO PRINCIPAL,,,,,,,PRATO PRINCIPAL,,,,,,,OPÇÃO,,,,,,GUARNIÇÃO I,,,,,,GUARNIÇÃO I,,,,,,SOPA,,,,,,SALADA VERDE,,,,,,SALADA VERDE,,,,,,SALADA,,,,,,SALADA,,,,,,SALADA,,,,,,SALADA,,,,,,SOBREMESA,,,,,,SOBREMESA,,,,,,SOBREMESA FRUTA,,,,,,BEBIDA,,,,,,BEBIDA,,,,,,BEBIDA,,,,,,PÃO,,,,,,MESA DE MOLHOS,,,,,,VEGETARIANO,,,,,,Total Custo per Capita
Nº Cardápio,,Data,,,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,
60,,01/01/2026,quinta-feira,,Arroz Branco II,,"0,105","361,358","0,37",100%,"0,37",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Sassami a dorê L30,,"0,382","588,13545","5,58",70%,"3,91",Moqueca Suína L30,"0,317","132,33625",,"6,81",25%,"1,7",Omelete,"0,02","2,819904","1,32",5%,"0,07",Polenta Cremosa,"0,039","136,4215","0,17",100%,"0,17",Batata Doce Corada,"0,142","316,2264","0,46",98%,"0,46",Sopa de Batata com Espinafre,"0,055","9,00975","0,2",30%,"0,06",Salada Mix de Folhas,"0,02","3,07","0,18",100%,"0,18",,,,,,,Salada Mista Verde,"0,025","4,56","0,1",100%,"0,1",Salada de Lentilha,"0,03","56,585","0,32",100%,"0,32",Salada de Legumes Verde,"0,057","14,035","0,19",100%,"0,19",Salada de Tomate,"0,11","2,046","0,36",10%,"0,04",Torta de Bolachas de Chocolate,"0,026","96,993072","0,43",99%,"0,43",Gelatina Mix,"0,008","28,2528","0,32",90%,"0,28",Salada de Frutas,"0,12","6,1695","0,51",10%,"0,05",Suco Concentrado 4,"0,06","77,752","0,72",100%,"0,72",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",Suco Detox de Beterraba com Limão,"0,016","4,8975","0,05",50%,"0,02",Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Kibe de Abóbora com Mussarela L30,"0,094","15,13821","0,59",10%,"0,06","9,66"
