CARGO,GRADE,MINIMO,MAXIMO
AUXILIAR SERVICOS GERAIS I,O1,1907,2217
AUXILIAR SERVICOS GERAIS II,N2,2138,2486
AUXILIAR SERVICOS GERAIS III,N1,2443,2840
CONFEITEIRO I,O1,1907,2217
CONFEITEIRO II,N2,2138,2486
CONFEITEIRO III,N1,2443,2840
COZINHEIRO I,N2,2138,2486
COZINHEIRO II,N1,2443,2840
COZINHEIRO III,M2,2776,3227
GERENTE UNIDADE OPERACIONAL I,J1,6594,7666
GERENTE UNIDADE OPERACIONAL II,I2,7320,8510
GERENTE UNIDADE OPERACIONAL III,I1,8653,10153
OFICIAL COZINHA I,O1,1907,2217
OFICIAL COZINHA II,N2,2138,2486
OFICIAL COZINHA III,N1,2840,2840
OFICIAL ESTOQUE,O2,1666,1937
