Unnamed: 0,FY25,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,FY26,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Fev/26,Mar/26,Abr/26,Mai/26,Jun/26,Jul/26,Ago/26
*   Faturamento Líquido,-348372.63,-380105.72,-333187.55,-341470.88,-375601.75,-363386.89,-372581.79,-369941.47,-393085.15,-369941.47,-397292.4,-387040.72,-4432008.42,-441331.17,-454254.42,-405487.67,-384390.59,-442402.35,-443032.7,-486403.36,-452373.2,-462865.83,-471587.06,-490800.92,-485083.98
*   Consumo,235573.94,232638.7,205630.77,212369.81,233932.7,215660.6,243044.82,220843.21,234143.69,243802.5,238099.97,232630.5,2748371.21,289947.28,303247.48,264945.59,249099.25,289268.79,275705.45,303943.7,281933.86,289533.9,297176.3,309989.33,302117.6
*   Pessoal,120778.22,115318.57,116811.26,118144.92,121697.94,137699.9,123397.53,122117.38,131976.89,130839.75,134512.37,134868.94,1508163.67,132149.82,135154.09,134285.83,133004.74,137075.51,127809.16,137686.11,134678.22,137238.46,138543.34,137954.66,145853.91
*   Depreciação,2650.58,2650.58,2650.58,2650.58,2650.58,2650.58,2650.58,2650.58,2650.58,2650.58,2650.58,2650.58,31806.96,2144.82,2216.29,2144.8,2216.29,2216.31,2001.8,2216.3,2144.81,2216.29,2144.81,2365.15,2216.3
*   Outras Despesas,9050.1,10620.1,9320.1,15720.1,9720.1,9720.1,10910.1,11820.1,10115.1,9720.1,9720.1,9720.1,126156.2,8258.21,7958.21,9453.21,7958.21,9558.21,7958.21,7958.21,7958.21,10750.16,7958.21,7958.21,8258.21
*   Bonificação,-32021.28,-31622.3,-27951.14,-28867.17,-31798.19,-29314.49,-33036.79,-30018.95,-31826.87,-33139.78,-32364.64,-40772.39,-382733.99,-39258.86,-41059.71,-35873.63,-33728.04,-39166.99,-37330.52,-41153.98,-38173.84,-39202.89,-40237.67,-41972.55,-40906.72
**  Gross Profit Exc. IFRS16,-12341.07,-50500.07,-26725.98,-21452.64,-39398.62,-26970.2,-25615.55,-42529.15,-46025.76,-16068.32,-44674.02,-47942.99,-400244.37,-48089.9,-46738.06,-30531.87,-25840.14,-43450.52,-66888.6,-75753.02,-63831.94,-62329.91,-66002.07,-74506.12,-67544.68
*** *Total,-12341.07,-50500.07,-26725.98,-21452.64,-39398.62,-26970.2,-25615.55,-42529.15,-46025.76,-16068.32,-44674.02,-47942.99,-400244.37,-48089.9,-46738.06,-30531.87,-25840.14,-43450.52,-66888.6,-75753.02,-63831.94,-62329.91,-66002.07,-74506.12,-67544.68
,,,,,Últimos 12 meses,,,,,,,,,,,,,,,,,,,,
