Unnamed: 0,FY25,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,FY26,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Fev/26,Mar/26,Abr/26,Mai/26,Jun/26,Jul/26,Ago/26
*   Faturamento Líquido,-606554.45,-739336.62,-670138.41,-629432.51,-654161.16,-579975.2,-572210.35,-604703.86,-683887.29,-639776.68,-692102.52,-706901.25,-7779180.3,-657874.27,-680424.82,-598859.5,-632436.1,-649735.83,-556121.59,-657874.27,-606997.93,-624297.66,-632436.1,-657874.27,-649735.83
*   Consumo,366107.63,442307.7,403935.95,380889.25,397214.99,354879.02,352047.72,372204.83,398517.79,373850.25,404410.03,412206.35,4658571.51,423365.54,435554.57,384400.52,407106.7,415309.77,353324.59,420737.52,388983.13,395778.91,403864.07,422236.94,418164.02
*   Pessoal,185796.54,190061.96,186935.06,176517.45,179743.53,177974.18,177974.18,180966.18,180218.63,189982.05,186807.16,189975.05,2202951.97,172575.8,173472.93,175792.52,172194.02,163927.46,163531.88,161508.4,172233.93,170149.32,182037.02,177373.66,175554.7
*   Depreciação,2524.88,2524.88,2524.88,2524.88,2524.88,2524.88,2524.88,2524.88,2524.88,2524.88,2524.88,2525.88,30299.56,4931.69,3136.37,2813.04,2835.05,2835.14,3114.77,2835.01,2762.39,2835.02,2762.37,2835.12,2835.04
*   Outras Despesas,23210.84,23210.84,23210.84,26210.84,23210.84,23210.84,23210.84,25510.84,23210.84,23210.84,23210.84,23210.84,283830.08,20941.3,20846.3,25042.62,22811.3,22031.3,20731.3,20731.3,20731.3,21831.3,20731.3,20731.3,20731.3
*   Bonificação,-51516.34,-62238.73,-56839.3,-53596.32,-55893.57,-49936.32,-49537.92,-52374.3,-56076.89,-52605.83,-56906.01,-74789.2,-672310.73,-55545.56,-57144.76,-50433.35,-53412.4,-54488.64,-46356.19,-55200.76,-51034.59,-51926.19,-52986.97,-55397.49,-54863.12
**  Gross Profit Exc. IFRS16,-80430.9,-143469.97,-110370.98,-96886.41,-107360.49,-71322.6,-65990.65,-75871.43,-135492.04,-102814.49,-132055.62,-153772.33,-1275837.91,-91605.5,-104559.41,-61244.15,-80901.43,-100120.8,-61775.24,-107262.8,-73321.77,-85629.3,-76028.31,-90094.74,-87313.89
*** *Total,-80430.9,-143469.97,-110370.98,-96886.41,-107360.49,-71322.6,-65990.65,-75871.43,-135492.04,-102814.49,-132055.62,-153772.33,-1275837.91,-91605.5,-104559.41,-61244.15,-80901.43,-100120.8,-61775.24,-107262.8,-73321.77,-85629.3,-76028.31,-90094.74,-87313.89
,,,,,Últimos 12 meses,,,,,,,,,,,,,,,,,,,,
