Unnamed: 0,FY25,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,FY26,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Fev/26,Mar/26,Abr/26,Mai/26,Jun/26,Jul/26,Ago/26
*   Faturamento Líquido,-217107.84,-217107.84,-217107.84,-217107.84,-237588.62,-237588.62,-237588.62,-237588.62,-237588.62,-237588.62,-237588.62,-237588.62,-2769140.32,-262816.03,-262816.03,-262816.03,-262816.03,-281292,-281292,-281292,-281292,-281292,-281292,-281292,-281292
*   Consumo,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,52800,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
*   Pessoal,173203.05,179283.69,168727.84,168814.33,192526.41,191927.54,192572.39,203463.47,192762.75,192015.17,191933.06,191933.06,2239162.76,204696.38,204696.38,206387.35,204595.35,212482.16,220650.94,220650.94,211850.94,220650.94,220650.94,220650.94,220650.94
*   Depreciação,3027,3099,3949,3720.56,3635.56,3576.56,3630.56,3610.56,3628.56,3613.56,3632.56,3632.56,42756.04,1602.22,1622.33,1602.23,1622.28,1622.31,1562.11,1622.29,1602.21,1622.33,1602.24,1622.31,1622.28
*   Outras Despesas,11397.82,11397.82,11397.82,11397.82,11817.82,11817.82,11817.82,11817.82,11817.82,11817.82,11817.82,11817.82,140133.84,9284.62,19284.62,9284.62,12382.62,9284.62,19284.62,9284.62,9284.62,9284.62,19284.62,9284.62,9284.62
*   Bonificação,-833.54,-833.54,-833.54,-833.54,-833.54,-833.54,-833.54,-833.54,-833.54,-833.54,-833.54,-1074.77,-10243.71,-925,-925,-925,-925,-925,-925,-925,-925,-925,-925,-925,-925
**  Gross Profit Exc. IFRS16,-25913.51,-19760.87,-29466.72,-29608.67,-26042.37,-26700.24,-26001.39,-15130.31,-25813.03,-26575.61,-26638.72,-26879.95,-304531.39,-43157.81,-33137.7,-41466.83,-40140.78,-53827.91,-35719.33,-45659.15,-54479.23,-45659.11,-35679.2,-45659.13,-45659.16
*** *Total,-25913.51,-19760.87,-29466.72,-29608.67,-26042.37,-26700.24,-26001.39,-15130.31,-25813.03,-26575.61,-26638.72,-26879.95,-304531.39,-43157.81,-33137.7,-41466.83,-40140.78,-53827.91,-35719.33,-45659.15,-54479.23,-45659.11,-35679.2,-45659.13,-45659.16
,,,,,Últimos 12 meses,,,,,,,,,,,,,,,,,,,,
