Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,12,11,10,9,8,7,6,5,Unnamed: 13,Unnamed: 14,Unnamed: 15,4,3,2,1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
    70017101  Desjejum,-54146.24,-60273.28,-56993.28,-52309.44,-57295.04,-59816.48,-65034.16,-65525.48,-68002.84,-66189.8,-64854.24,-63414.88,-733855.16,,    70017003  Prov. Fat. -Vend,0,0,0,-64541.5,0,-64541.5,,,
    70017103  Lanches,-22563.28,-43653.5,-28648.04,-26242.83,-26860.43,-4730.18,-25201.28,-28567.55,-34988.17,-30313.65,-66056.41,-38751.25,-376576.57,,    70017101  Desjejum,-73967.88,-82956.96,-74749.84,-57581.32,0,-289256,,,
    70017106  Refeições,-314482.75,-378588.88,-334540.91,-290089.76,-331085.58,-373966.68,-370373.72,-378272.09,-393322.97,-386661.73,-376931.71,-375017.1,-4303333.88,,    70017103  Lanches,-35397.05,-36034.67,-28694.63,-31563.69,-65327.5,-197017.54,,,
    70017109  Café / Chá,0,0,0,0,-1754.83,-1704.76,0,0,0,-554.74,0,0,-4014.33,,    70017106  Refeições,-432661.41,-464896.32,-447438.41,-308217.2,-943.14,-1654156.48,,,
    70017301  ICMS sobre venda,12518.16,15440.49,13445.83,11796.54,16679.84,17608.7,18424.38,18894.61,19852.55,19348.77,20313.7,19087.34,203410.91,,    70017201  Bombonieres,-2975.91,0,0,0,0,-2975.91,,,
    70017302  PIS sobre vendas,6220.85,7677.88,6684.21,5862.65,6577.9,6946.06,7266.52,7474.7,7854.12,7645.23,8036.22,7550.58,85796.92,,    70017301  ICMS sobre venda,21800.1,23355.51,22035.31,15894.49,2650.82,85736.23,,,
    70017303  COFINS sobre ven,28653.67,35364.79,30787.79,27003.72,30298.23,31993.94,33469.96,34428.96,36176.55,35214.38,37015.38,34778.49,395185.86,,    70017302  PIS sobre vendas,8624.33,9239.74,8717.7,6289.24,1049.73,33920.74,,,
,,,,,,,,,,,,,,,    70017303  COFINS sobre ven,39723.99,42558.81,40154.2,28968.72,4835.12,156240.84,,,
,,,,,,,,,,,,,,,    70017311  ICMS s/Prov.Fatu,0,0,0,2381.58,0,2381.58,,,
