Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
,    70227051  Prestações-Servi,-253186.98,-255103.57,-255103.57,-270613.41,-257880.23,-257518.34,-253186.98,-253186.98,-440846.25,-294473.43,-294473.43,-321690,-3407263.17,,    70227051  Prestações-Servi,-303136.14,-294473.43,-303136.14,-303136.14,-289114.21,-1492996.06,,,
,    70227054  Prov. Fat.-Servi,0,0,0,0,0,-73186.4,-36593.2,-36593.2,146372.8,0,0,0,0,,    70227401  ISSQN s/Prest Se,15156.81,14723.67,15156.81,15156.81,14455.71,74649.81,,,
,    70227401  ISSQN s/Prest Se,12659.35,12755.18,12755.18,13530.67,12894.01,12875.92,12659.35,12659.35,22042.31,14723.67,14723.67,16084.51,170363.17,,    70227402  PIS s/ Prest Ser,5001.74,4858.81,5001.75,5001.75,4770.38,24634.43,,,
,    70227402  PIS s/ Prest Ser,4177.59,4209.21,4209.21,4465.12,4255.03,4249.05,4177.59,4177.59,7273.96,4858.81,4858.81,5307.87,56219.84,,    70227403  COFINS s/ Prest.,23038.35,22379.98,23038.35,23038.35,21972.68,113467.71,,,
,    70227403  COFINS s/ Prest.,19242.21,19387.87,19387.87,20566.62,19598.9,19571.4,19242.21,19242.21,33504.31,22379.98,22379.98,24448.45,258952.01,,,,,,,,,,,
,    70227406  ISS s/Prov.Fatur,0,0,0,0,0,3659.32,1829.66,1829.66,-7318.64,0,0,0,0,,,,,,,,,,,
,    70227407  PIS s/Prov.Fat.S,0,0,0,0,0,1207.58,603.78,603.79,-2415.15,0,0,0,0,,,,,,,,,,,
,    70227408  COFINS s/ProvFat,0,0,0,0,0,5562.17,2781.08,2781.08,-11124.33,0,0,0,0,,,,,,,,,,,
,*   Faturamento Líquido,-217107.83,-218751.31,-218751.31,-232051,-221132.29,-283579.3,-248486.51,-248486.5,-252510.99,-252510.97,-252510.97,-275849.17,-2921728.15,,*   Faturamento Líquido,-259939.24,-252510.97,-259939.23,-259939.23,-247915.44,-1280244.11,,,
