,BR014545 LEROY MERLIN CAJAMAR,,,,,,,,,,,,,,,,,,,,,,,,
,Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
,    70017101  Desjejum,"-65565,54","-77486,01","-38066,94","-66701,88","-68530,19","-62230,62","-67364,06","-62255,3","-64013,75","-60817,69","-64408,63","-65836,7","-763277,31",,    70017101  Desjejum,"-67498,39",-78770,"-62861,54","-61709,98","-23394,48","-294234,39",,,
,    70017103  Lanches,"-25981,69","-30847,87","-22546,62","-63755,83","-21512,35","-30244,9","-11549,27","-9253,45","-10437,8","-29187,16","-19675,95","-20808,48","-295801,37",,    70017103  Lanches,"-34476,11","-69930,74","-84563,22","-15103,42","-1668,16","-205741,65",,,
,    70017106  Refeições,"-595180,14","-698629,75","-653719,53","-583973,33","-585625,65","-549232,96","-742290,04","-529998,29","-546701,8","-500352,83","-518362,65","-554598,64","-7058665,61",,    70017106  Refeições,"-580673,58","-639829,89","-543561,51","-481127,32","-181682,44","-2426874,74",,,
,    70017109  Café / Chá,"-2143,65","-2729,12","-2904,6","-3191,13","-3612,31","-1755,65","-3463,2",0,0,"-1577,68","-3867,24","-2153,23","-27397,81",,    70017109  Café / Chá,"-4203,02",-2035,-1810,-1965,-2130,"-12143,02",,,
,    70017112  Refrigerantes,-2048,"-2257,18","-54,46","-19,02","-48,13","-112,48","-230,34","-44,68",-23,"-14,99","-65,44","-45,94","-4963,66",,    70017112  Refrigerantes,"-251,82","-21,57","-11,56","-25,89","-30,02","-340,86",,,
,    70017201  Bombonieres,0,0,0,0,0,0,0,0,0,"-4,45","-4,32","-0,89","-9,66",,    70017301  ICMS sobre venda,"27481,72","32083,19","28167,81","22942,42","8355,01","119030,15",,,
,    70017301  ICMS sobre venda,"22043,87","25910,14","22953,12","22963,94","27334,56","25738,6","32986,7","24060,27","24846,13","23677,56","24252,75","25735,86","302503,5",,    70017302  PIS sobre vendas,"10813,11","12273,67","10734,97","8593,59","3274,84","45690,18",,,
,    70017302  PIS sobre vendas,"10968,43","12888,76","11409,31","11410,49","10742,64","10141,74","13007,85","9477,65","9789,13","9324,39","9542,87","10129,83","128833,09",,    70017303  COFINS sobre ven,"49806,01","56533,21","49445,88","39582,45","15084,13","210451,68",,,
,    70017303  COFINS sobre ven,"50521,14","59366,32","52552,06","52557,31","49481,14","46713,4","59915,01","43654,7","45089,3","42948,76","43954,86","46658,89","593412,89",,,,,,,,,,,
,*   Faturamento Líquido,"-607385,58","-713784,71","-630377,66","-630709,45","-591770,29","-560982,87","-718987,35","-524359,1","-541451,79","-516004,09","-528633,75","-560919,3","-7125365,94",,*   Faturamento Líquido,"-599002,08","-689697,13","-604459,17","-488813,15","-182191,12","-2564162,65",,,
,    60119001  Gêneros alimentí,"1077,86","1029,73","1332,91","3740,37","3293,37","798,03","221,26","1291,29","267,29","361,5","689,1","114,77","14217,48",,    60119001  Gêneros alimentí,3227,"2250,45","366,51","4978,66","9514,44","20337,06",,,
,    60119058  Créd.PISCOF ICMS,0,0,0,0,0,0,0,"6,39","83,62",104,"-474,15","-45,71","-325,85",,    60119058  Créd.PISCOF ICMS,"-67,31","-47,09","-63,82","-35,63",0,"-213,85",,,
,    60119057  Eventos Clientes,248,"620,47",0,0,0,95,"171,55",0,0,"238,13",0,"582,54","1955,69",,    60119057  Eventos Clientes,"330,2","1347,05","51,83","2229,06","171,7","4129,84",,,
,    60119002  Outros Débitos I,0,"-0,02","-0,01","0,01","0,01","-0,02","0,01","7,04","-0,02","0,03","0,02","0,02","7,07",,    60269008  Descartáveis,0,0,"64,45","851,9",220,"1136,35",,,
,    60269008  Descartáveis,"319,74",0,"223,1","459,12","107,19","311,4","1322,88","21,5",0,"17,99",0,0,"2782,92",,    60119008  EstCred ICMS Pis,"552,51","678,87","461,77","427,52",0,"2120,67",,,
,    60119008  EstCred ICMS Pis,"589,61","738,18","610,93","790,07","545,45","445,84","741,27","600,67","505,92","617,88","390,91","316,53","6893,26",,    60229009  Materiais de lim,"6696,75","7052,95","5165,15","4698,58",0,"23613,43",,,
,    60229009  Materiais de lim,0,6203,"10683,32",0,"12309,87","319,59","11632,23",0,"10171,75",0,"13199,36",0,"64519,12",,    60249011  EPIs,"2083,51","1936,5","2264,03","65,34","311,66","6661,04",Média Mês,"1337,63583333333",
,    60249011  EPIs,"1684,1",0,"1775,19","1959,31","1431,88","337,5","2181,3","2278,19","2812,55",183,"451,93","25,9","15120,85",,    60269012  Outros materiais,0,"1356,03","-1356,03","1265,54",0,"1265,54",,,
,    60119014  Devol - Av. Déb.,"-2337,65","-63,05","-667,2",0,"-13,05",-18,"-20,25","-120,25","-327,08","-7,2",0,0,"-3573,73",,    62439013  Fretes,0,0,0,"160,85",0,"160,85",,,
,    60119016  Arroz,"20637,25","23847,12","20582,21","19866,82","18378,15","12778,94","14722,12","12909,46","11957,76","11241,16","13572,99","9151,02",189645,,    60119016  Arroz,"12617,37","12589,87","11076,3","7056,82","4738,97","48079,33",,,
,    60119017  Carnes,"157420,24","176925,42","147691,6","153296,12",156828,"147287,61","163863,26","156657,36","126558,12","161894,26","158463,41","140050,35","1846935,75",,    60119017  Carnes,"144572,13","148360,22","161624,63","145946,52","99717,42","700220,92",,,
,    60119018  Feijão,"13006,91","12796,04","14046,02","10555,7","13686,81","9392,56","11368,11","10185,59","12020,99","11065,5","13053,46","10744,56","141922,25",,    60119018  Feijão,"4133,97","10973,2","10959,35","6717,71","3672,18","36456,41",,,
,    60119019  Legumes Folh.,"34316,46","35330,35","33915,17","32870,94","28401,17","26934,21","28124,82","28494,37","26132,47","24098,55","26134,38","23385,47","348138,36",,    60119019  Legumes Folh.,"24315,11",27314,"23958,37",16572,"15319,31","107478,79",,,
,    60119020  Outros Gêneros,"18579,04","18684,36","21011,52","12569,57","14736,17","17326,34","23739,08","17983,77","22143,61","10667,48","18351,48","11437,66","207230,08",,    60119020  Outros Gêneros,"19421,79","20242,29","17821,89","-17350,43","35180,43","75315,97",,,
,    60119021  Pães,"38083,38","35894,84","24659,73","33813,39","26861,92","24849,26","29109,21","32455,17","32246,1","32690,18","25985,3","23350,17","359998,65",,    60119021  Pães,"38204,58","35600,18","27648,3","25072,96","12628,27","139154,29",,,
,    60119022  Recheios,"12377,56","14753,98","13545,07","13030,74","21734,34","11990,4","10413,93",5787,"10603,38","10979,18","12444,85","11400,08","149060,51",,    60119022  Recheios,"9465,89","11173,39","10588,61","16952,77","2745,44","50926,1",,,
,    60119023  Sobremesas,"9695,51","11652,86","10670,99","7887,89","9799,72","7908,48","9144,41","9552,22","7344,06","7725,04","10345,38","6827,56","108554,12",,    60119023  Sobremesas,"5658,66","14716,57","9498,2","9136,14","2887,34","41896,91",,,
,    60119025  Var. Est. Alim.,0,0,0,0,0,0,0,0,0,0,"-3078,22","-12062,55","-15140,77",,    60119025  Var. Est. Alim.,0,0,0,"-595,21","-628,07","-1223,28",,,
,    60119027  Refrigerantes,"6412,34","6572,32","5744,13","5648,41","4189,13","5275,64","6499,48","4856,63","6617,96","3734,89","7078,46","4721,84","67351,23",,    60119027  Refrigerantes,"8388,02","16336,48","14321,59","7113,19","7537,87","53697,15",,,
,    60119028  Água,0,0,0,0,0,"33,97",0,0,0,0,0,"94,21","128,18",,    60119029  Sucos,"15107,45","17680,3","14458,46","23515,78","4224,99","74986,98",,,
,    60119029  Sucos,"11925,04","16721,88","17589,4","18702,91","10982,12","12366,17","19613,76","16143,99","14590,12","16646,89","10203,36","9921,23","175406,87",,    60119030  Leites,"12398,22","13560,15","14591,73","12821,29","6205,96","59577,35",,,
,    60119030  Leites,"12603,7","16296,31","14198,84","13537,1","13789,51","10420,44","14102,1","11105,33","13718,99","14727,44","15197,39","17766,03","167463,18",,    60119031  Café / Chá,"5651,64","7717,62","7644,87","7285,28","3837,55","32136,96",,,
,    60119031  Café / Chá,"6239,93","6326,33","5501,07","6440,81","6793,35","5438,96","9166,33","8398,43","8002,21","5637,28","9696,92","10102,96","87744,58",,    60119032  Temperos,"2793,58","3534,33","3010,57","2982,47","1931,68","14252,63",,,
,    60119032  Temperos,"2284,11","2604,64","3304,53","4966,27","4358,39","2320,09","2671,1","2810,22","2904,6","2867,07","2767,3",3271,"37129,32",,    60119033  Oleos,"4482,8","4612,73","4339,47","7037,88","2439,57","22912,45",,,
,    60119033  Oleos,"5592,51","4836,68","5938,88","11214,65","8622,48","6796,07","5280,63","4848,68","4959,27","5083,07","4834,23","3425,72","71432,87",,    60119034  Frutas,"8720,51","11871,47","9765,28","5604,06","6533,47","42494,79",,,
,    60119034  Frutas,"10600,08","13511,72","9679,61","5849,29","11446,45","12826,07","20361,58","11990,31","12621,26","10243,65","14468,89","11060,48","144659,39",,    60119035  PIS/COFINS CD,"-18407,34","-21340,59","-25667,62","-18887,86",0,"-84303,41",,,
,    60119035  PIS/COFINS CD,"-21425,46","-26465,93","-23922,63","-19656,14","-23152,96","-19638,43","-20867,86","-24992,29","-18683,82","-18386,86","-21200,53","-19367,28","-257760,19",,    60119042  Descartáveis,"6063,19","5854,44","7416,6","6090,56","5398,07","30822,86",,,
,    60119042  Descartáveis,"9739,43","9183,56","13051,92","10634,61","7730,54","6849,4","10218,88","2846,48","6939,17","6043,91","6700,17","6078,69","96016,76",,    60119043  Gás/Carvão,"10571,82","9003,12","7885,11","5506,46","8345,03","41311,54",,,
,    60119043  Gás/Carvão,"11268,51","16612,89","14825,77","10990,02","9263,98","11755,39","15230,18","8626,61","9219,33","10124,06","10300,7","14470,63","142688,07",,    60119044  Higiene - Limpez,"7791,92","7302,49","7704,67","7392,66","4208,9","34400,64",,,
,    60119044  Higiene - Limpez,"8327,03","8123,09","8055,76","8899,8","7220,91","7245,96","7851,08","6324,86","8595,25","6884,46","7704,34","8289,5","93522,04",,    60119048  Logist-Alim/ Ñ A,"21798,31","30474,17","24808,1","18408,54","-673,92","94815,2",,,
,    60119048  Logist-Alim/ Ñ A,"25881,21","22790,64","33152,45","20121,9","30673,85","23804,8","26109,18","32496,9","12626,88","21848,87","28496,57","23848,17","301851,42",,    60279056  Bombonieres,"2886,65","2084,73","2088,42","1504,94","457,38","9022,12",,,
,    60279056  Bombonieres,"1641,98",1624,"2262,04","1114,1","1669,19","1874,57","986,9","981,22","1965,47","1428,66","2097,36","1076,5","18721,99",,    60279062  Sorvetes / Iogur,0,"1934,06","4423,51",0,0,"6357,57",,,
,    60279062  Sorvetes / Iogur,"1460,36","1234,93","2615,05","2427,37",0,0,"1764,18",0,0,0,0,0,"9501,89",,    60279065  Lanches,"6580,32","15643,96","16966,43","2880,28","1885,81","43956,8",,,
,    60279064  Bebidas,"1165,24","1578,98","693,68","2673,72",0,446,"117,6","287,46","188,77",0,0,0,"7151,45",,    60279067  Gastos com CD,"1367,58","820,7","1131,35","728,2",0,"4047,83",,,
,    60279065  Lanches,"3064,4","727,7","1091,2","5949,97","2387,19","2057,19","1823,15","1616,91","4265,74","1202,52","6081,33","2351,07","32618,37",,    60119099  Notas de Debito,"-484,19","-1249,45","-1096,43","-1087,74","-77,24","-3995,05",,,
,    60279066  Trans interna cu,0,0,0,0,0,0,0,"39,19",0,0,"43,93",0,"83,12",,,,,,,,,,,
,    60249222  EPIs,0,0,0,0,0,0,0,0,58,0,0,0,58,,,,,,,,,,,
,    60279067  Gastos com CD,"551,73","201,81","1208,19","-1893,21","888,15","602,94","289,25","1568,77","1209,87","341,99","1535,95","-146,52","6358,92",,,,,,,,,,,
,    60119099  Notas de Debito,"-446,11","-1266,98","-4267,17","-700,76","-1331,94","139,09","-324,07","-187,03","-253,08","-568,07","-192,68","-661,49","-10060,29",,,,,,,,,,,
,*   Consumo,"402584,04","439627,85","410803,27","397760,87","403631,34","351371,46","427628,64","367872,44","352066,51","359736,51","395343,89","321581,11","4630007,93",,*   Consumo,"366922,64","421385,19","393921,65","313047,09","238734,21","1734010,78","372875,705833333",Média Mês,"371538,07"
,    64109387  Campanha Incenti,0,0,0,0,0,0,750,750,0,0,-750,0,750,,    62869511  Transf Gest. Afa,"89,75",0,"175,2","24,84","144,4","434,19",,,
,    62869511  Transf Gest. Afa,0,0,0,0,0,0,0,"781,52","213,64","98,02","255,36","312,72","1661,26",,    64109301  Salarios e orden,"50902,62","55272,89","53326,13","48834,9",0,"208336,54",,,
,    64109301  Salarios e orden,"74342,95","71851,59","74481,39","69429,87","72429,42","70638,42","69371,31","72052,65","63707,82","64191,84","62008,33","49672,02","814177,61",,    64109386  Teleterapia,"3,16",0,0,"3,1","3,1","9,36",,,
,    64109386  Teleterapia,"6,96",0,"4,74","6,24","7,8",5,"4,32","4,32","4,32","4,35","4,71","4,74","57,5",,    69109303  Partic nos lucro,"5013,33","5013,33","5082,29","4921,19",0,"20030,14",,,
,    69109303  Partic nos lucro,"7404,55","7004,51","6828,58","7661,91","8023,88","7038,88","6937,18","6740,54","6340,5","6446,11","6285,01","4581,29","81292,94",,    64109344  Vale Refeição,0,"-18,36","-731,44","-0,96",0,"-750,76",,,
,    64109344  Vale Refeição,"-4,47","-10,5","-11,93",0,"-8,08","-2,68","-913,47","-1,04","-2,18","-9,84",0,0,"-964,19",,    64109304  Gratificações,"1689,32","3845,61",1867,260,0,"7661,93",,,
,    64109304  Gratificações,0,0,0,720,0,"1865,73","2941,95","719,91","2403,27","4027,91","1673,2","2209,16","16561,13",,    64109305  Férias,"4141,99","5521,61","5508,64","4813,14",0,"19985,38",,,
,    64109305  Férias,"6313,18","7010,36","8245,66","7964,83","6673,68","6171,64","5573,19","5285,59","6346,19","9636,9","6267,01",5476,"80964,23",,    64109306  13 salário,"4748,71","5295,51","5476,21","4419,8",0,"19940,23",,,
,    64109306  13 salário,"7035,65","6765,92","7663,98","6361,18","7376,58","6332,03","6721,4","6177,27","5833,16","7571,55","5661,8","4547,74","78048,26",,    64109307  Horas extras,"1291,11","3353,19","2893,19","3611,08",0,"11148,57",,,
,    64109307  Horas extras,"3528,25","4256,99","5488,69","5755,4","6809,75","1326,99","6178,53","4489,9","4360,04","4495,22","2878,92","2342,5","51911,18",,    64109309  Indenizações,0,0,0,"-1933,2",0,"-1933,2",,,
,    64109309  Indenizações,-1790,0,"-805,49",0,0,0,0,0,"-2186,04",-1790,0,0,"-6571,53",,    64109310  Aviso prévio,0,0,"15186,89",0,0,"15186,89",,,
,    64109310  Aviso prévio,0,0,0,0,0,"2414,29",0,0,0,"2000,57",0,0,"4414,86",,    64109312  Abono férias-con,"2864,11","1698,87","1894,9","1687,38",0,"8145,26",,,
,    64109312  Abono férias-con,"2052,2","2625,18","1623,11","2399,22","3039,28","2167,77","2031,86","1672,95","2319,7","2901,23","1794,62","1174,57","25801,69",,    64509331  INSS,"17674,39","20236,54","15695,11","15671,21",0,"69277,25",,,
,    64509331  INSS,"25394,22","24483,78","26248,01","23585,36","26628,66","23622,24","24702,4","24338,11","22260,5","22816,24","20869,31","17396,22","282345,05",,    64509332  FGTS,"5310,48","6045,9","5301,56","6052,75",0,"22710,69",,,
,    64509332  FGTS,"7532,47","7212,69","7422,12","7843,28","7660,9","6899,65","7120,54","7025,16","6443,93","6695,42","5952,38","5217,14","83025,68",,    64509333  FGTS (Artigo 22),0,0,"13537,28","-0,02",0,"13537,26",,,
